Year,Code,Area
2021,621224,4518.13
2021,621225,15788.67
2021,621226,27733.33
2021,621227,9238.93
2021,621228,1817.51
2019,140105,36.08
2019,140121,25.94
2019,140423,202.82
2019,140425,591.39
2019,140426,963.62
2019,140428,895.94
2019,140429,116.78
2019,140430,6.94
2019,140521,1309.16
2019,140522,7739.91
2019,140524,55.08
2019,140525,31342.12
2019,140581,847.16
2019,140702,148.49
2019,140722,10.67
2019,140727,1275.22
2019,140728,186.17
2019,140729,1700.29
2019,140781,2833.96
2019,140802,17675.96
2019,140821,10201.32
2019,140822,11879.73
2019,140823,41443.09
2019,140824,25359.72
2019,140825,26198.55
2019,140826,19901.02
2019,140827,13028.23
2019,140828,21192.04
2019,140829,17051.05
2019,140830,33971.34
2019,140881,32723.87
2019,140882,16284.81
2019,140981,238.8
2019,141002,25015.67
2019,141021,16859.01
2019,141022,22294.86
2019,141023,46457.82
2019,141024,46507.03
2019,141025,830.4
2019,141027,10981.33
2019,141028,4.27
2019,141029,6363.39
2019,141034,9959.11
2019,141081,8183.34
2019,141082,10551.67
2019,141121,203.57
2019,141122,112.3
2019,141126,20.71
2019,141181,1465.55
2019,141182,186.38
2020,140105,39.04
2020,140121,28.8
2020,140423,193.83
2020,140425,529.46
2020,140426,884.69
2020,140428,930.6
2020,140429,111.22
2020,140430,71.64
2020,140521,1270.03
2020,140522,7690.68
2020,140524,42.57
2020,140525,31124.74
2020,140581,566.41
2020,140702,142.18
2020,140722,9.0
2020,140727,1237.78
2020,140728,157.27
2020,140729,1493.89
2020,140781,3021.65
2020,140802,17556.33
2020,140821,10811.05
2020,140822,11720.45
2020,140823,40091.24
2020,140824,24911.18
2020,140825,25319.23
2020,140826,18563.01
2020,140827,12842.58
2020,140828,21136.84
2020,140829,16969.59
2020,140830,33495.81
2020,140881,31196.15
2020,140882,15851.12
2020,140981,278.6
2020,141002,24628.79
2020,141021,16637.66
2020,141022,21978.33
2020,141023,45726.3
2020,141024,45612.97
2020,141025,820.0
2020,141027,10777.07
2020,141028,4.21
2020,141029,6271.55
2020,141034,9767.94
2020,141081,8072.39
2020,141082,10338.81
2020,141121,267.68
2020,141122,83.76
2020,141126,3.98
2020,141181,1383.96
2020,141182,159.73
2021,140105,47.67
2021,140121,59.27
2021,140423,354.52
2021,140425,407.26
2021,140426,733.73
2021,140428,995.54
2021,140429,140.39
2021,140430,117.1
2021,140521,1284.0
2021,140522,7693.75
2021,140524,43.51
2021,140525,31121.6
2021,140581,570.94
2021,140702,156.93
2021,140722,6.67
2021,140727,1394.37
2021,140728,305.92
2021,140729,1150.34
2021,140781,2953.61
2021,140802,17420.62
2021,140821,11019.4
2021,140822,11586.85
2021,140823,40539.42
2021,140824,24870.2
2021,140825,24980.67
2021,140826,19115.69
2021,140827,12854.59
2021,140828,21073.89
2021,140829,16956.19
2021,140830,33234.83
2021,140881,31520.75
2021,140882,15843.67
2021,140981,188.13
2021,141002,24914.5
2021,141021,16798.36
2021,141022,22265.03
2021,141023,45437.91
2021,141024,45041.71
2021,141025,600.51
2021,141027,10924.86
2021,141028,4.77
2021,141029,6439.18
2021,141034,9920.84
2021,141081,8260.24
2021,141082,10367.49
2021,141121,296.9
2021,141122,85.63
2021,141126,2.72
2021,141181,1392.96
2021,141182,164.66
